file_name,trend,seasonal,stationary,pattern,shifting,dataset_name,type_value,train_lens,time_steps,if_univariate,size,freq,length,transition,correlation
CalIt2.csv,,,,,,Multi,,3528.0,,False,large,,,,
CICIDS.csv,,,,,,Multi,,85115.0,,False,large,,,,
Creditcard.csv,,,,,,Multi,,142403.0,,False,large,,,,
GECCO.csv,,,,,,Multi,,72700.0,,False,large,,,,
Genesis.csv,,,,,,Multi,,12976.0,,False,large,,,,
MSL.csv,,,,,,Multi,,58317.0,,False,large,,,,
NYC.csv,,,,,,Multi,,13104.0,,False,large,,,,
PSM.csv,,,,,,Multi,,132481.0,,False,large,,,,
SMD.csv,,,,,,Multi,,708405.0,,False,large,,,,
SWAT.csv,,,,,,Multi,,495000.0,,False,large,,,,
SMAP.csv,,,,,,Multi,,135183.0,,False,large,,,,
ASD_dataset_1.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_10.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_11.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_12.csv,,,,,,Multi,,7291.0,,False,large,,,,
ASD_dataset_2.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_3.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_4.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_5.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_6.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_7.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_8.csv,,,,,,Multi,,8640.0,,False,large,,,,
ASD_dataset_9.csv,,,,,,Multi,,8640.0,,False,large,,,,
synthetic_con0.0494.csv,,,,,,,contextual,20000.0,,False,user,,,,
synthetic_con0.072.csv,,,,,,,contextual,20000.0,,False,user,,,,
synthetic_glo0.048.csv,,,,,,,global,20000.0,,False,user,,,,
synthetic_glo0.0718.csv,,,,,,,global,20000.0,,False,user,,,,
synthetic_sea0.0482.csv,,,,,,,seasonal,20000.0,,False,user,,,,
synthetic_sea0.0774.csv,,,,,,,seasonal,20000.0,,False,user,,,,
synthetic_sha0.049.csv,,,,,,,shapelet,20000.0,,False,user,,,,
synthetic_sha0.0742.csv,,,,,,,shapelet,20000.0,,False,user,,,,
synthetic_sub_mix0.0574.csv,,,,,,,mix,20000.0,,False,user,,,,
synthetic_sub_mix0.089.csv,,,,,,,mix,20000.0,,False,user,,,,
synthetic_tre0.0482.csv,,,,,,,trend,20000.0,,False,user,,,,
synthetic_tre0.0778.csv,,,,,,,trend,20000.0,,False,user,,,,
Gen备份数据-原始.csv,,,,,,,,,,False,user,other,16220.0,,
修改后后的数据Gen.csv,,,,,,,,,,False,user,other,16220.0,,
